Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
m10,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,33.5% - 56.5%
m10,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.0% - 60.0%
m10,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,33.0% - 57.0%
m10,Left,BICEPSFEM_LT_uV,VLOLT_uV,35.5% - 47.0%
m10,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,36.0% - 47.0%
m10,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,38.0% - 45.5%
m10,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,4.0% - 10.0%
m10,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
m10,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 6.0%; 82.5% - 99.5%
m10,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 83.5% - 99.5%
m10,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 3.5%; 86.5% - 99.5%
m10,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
m10,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.0%; 79.5% - 99.5%
m10,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 0.5%; 79.0% - 99.5%
m10,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,83.0% - 98.5%
m10,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 9.0%; 78.5% - 99.5%
m10,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 6.5%; 79.0% - 99.5%
m10,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,0.0% - 5.5%; 83.5% - 99.5%
m10,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
m10,Left,VLOLT_uV,TIB_ANT_LT_uV,56.5% - 64.5%
m10,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,60.0% - 65.5%
