Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
m20,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 2.0%; 85.0% - 99.5%
m20,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 8.5%; 81.5% - 99.5%
m20,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 1.5%; 82.0% - 99.5%
m20,Right,BICEPSFEM_RT_uV,VLORT_uV,84.0% - 94.0%
m20,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,88.5% - 93.5%
m20,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
m20,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 10.5%; 52.0% - 58.0%; 98.0% - 99.5%
m20,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
m20,Right,LAT_GASTRORT_uV,VLORT_uV,32.0% - 52.5%
m20,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,37.5% - 54.0%
m20,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,39.5% - 49.5%
m20,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
m20,Right,MED_GASTRORT_uV,VLORT_uV,28.5% - 51.0%
m20,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,35.5% - 50.0%
m20,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,31.0% - 46.5%
m20,Right,SOLEUSRT_uV,VLORT_uV,27.5% - 54.0%
m20,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,39.5% - 56.0%
m20,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,41.5% - 56.0%
m20,Right,VLORT_uV,RECTUSFEM_RT_uV,None
m20,Right,VLORT_uV,TIB_ANT_RT_uV,None
m20,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,None
