Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
p10,Left,BICEPSFEM_LT_uV,LAT_GASTROLT_uV,32.5% - 57.5%
p10,Left,BICEPSFEM_LT_uV,MED_GASTROLT_uV,35.5% - 59.0%
p10,Left,BICEPSFEM_LT_uV,SOLEUSLT_uV,32.0% - 56.5%
p10,Left,BICEPSFEM_LT_uV,VLOLT_uV,36.0% - 46.5%
p10,Left,BICEPSFEM_LT_uV,RECTUSFEM_LT_uV,35.5% - 46.0%
p10,Left,BICEPSFEM_LT_uV,TIB_ANT_LT_uV,38.0% - 43.5%
p10,Left,LAT_GASTROLT_uV,MED_GASTROLT_uV,10.5% - 12.0%
p10,Left,LAT_GASTROLT_uV,SOLEUSLT_uV,None
p10,Left,LAT_GASTROLT_uV,VLOLT_uV,0.0% - 6.0%; 81.5% - 99.5%
p10,Left,LAT_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 4.5%; 84.5% - 99.5%
p10,Left,LAT_GASTROLT_uV,TIB_ANT_LT_uV,0.0% - 3.5%; 88.5% - 99.5%
p10,Left,MED_GASTROLT_uV,SOLEUSLT_uV,None
p10,Left,MED_GASTROLT_uV,VLOLT_uV,0.0% - 2.5%; 78.5% - 99.5%
p10,Left,MED_GASTROLT_uV,RECTUSFEM_LT_uV,0.0% - 1.0%; 80.0% - 99.5%
p10,Left,MED_GASTROLT_uV,TIB_ANT_LT_uV,82.5% - 99.0%
p10,Left,SOLEUSLT_uV,VLOLT_uV,0.0% - 9.5%; 77.5% - 99.5%
p10,Left,SOLEUSLT_uV,RECTUSFEM_LT_uV,0.0% - 6.5%; 83.0% - 99.5%
p10,Left,SOLEUSLT_uV,TIB_ANT_LT_uV,0.0% - 6.0%; 84.5% - 99.5%
p10,Left,VLOLT_uV,RECTUSFEM_LT_uV,None
p10,Left,VLOLT_uV,TIB_ANT_LT_uV,None
p10,Left,RECTUSFEM_LT_uV,TIB_ANT_LT_uV,None
