Condition,Leg,Muscle 1,Muscle 2,Significant Gait Phases
p10,Right,BICEPSFEM_RT_uV,LAT_GASTRORT_uV,0.0% - 5.5%; 82.0% - 99.5%
p10,Right,BICEPSFEM_RT_uV,MED_GASTRORT_uV,0.0% - 7.5%; 84.0% - 99.5%
p10,Right,BICEPSFEM_RT_uV,SOLEUSRT_uV,0.0% - 3.5%; 83.5% - 99.5%
p10,Right,BICEPSFEM_RT_uV,VLORT_uV,85.5% - 95.5%
p10,Right,BICEPSFEM_RT_uV,RECTUSFEM_RT_uV,86.5% - 96.5%
p10,Right,BICEPSFEM_RT_uV,TIB_ANT_RT_uV,None
p10,Right,LAT_GASTRORT_uV,MED_GASTRORT_uV,0.0% - 6.0%; 52.5% - 60.5%; 98.5% - 99.5%
p10,Right,LAT_GASTRORT_uV,SOLEUSRT_uV,None
p10,Right,LAT_GASTRORT_uV,VLORT_uV,32.0% - 50.5%
p10,Right,LAT_GASTRORT_uV,RECTUSFEM_RT_uV,37.5% - 54.5%
p10,Right,LAT_GASTRORT_uV,TIB_ANT_RT_uV,42.0% - 44.5%
p10,Right,MED_GASTRORT_uV,SOLEUSRT_uV,None
p10,Right,MED_GASTRORT_uV,VLORT_uV,27.5% - 49.5%
p10,Right,MED_GASTRORT_uV,RECTUSFEM_RT_uV,37.5% - 51.0%
p10,Right,MED_GASTRORT_uV,TIB_ANT_RT_uV,35.0% - 47.5%
p10,Right,SOLEUSRT_uV,VLORT_uV,29.0% - 51.0%
p10,Right,SOLEUSRT_uV,RECTUSFEM_RT_uV,39.0% - 55.5%
p10,Right,SOLEUSRT_uV,TIB_ANT_RT_uV,None
p10,Right,VLORT_uV,RECTUSFEM_RT_uV,None
p10,Right,VLORT_uV,TIB_ANT_RT_uV,None
p10,Right,RECTUSFEM_RT_uV,TIB_ANT_RT_uV,None
